album,track_number,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,popularity,album_order,release_date,plays,relative plays per album
I Am Easy to Find,3,Roman Holiday,spotify:track:7y3sR3xXDSls1GPYGoJ312,214786,0.641,0.533,0.463,0.376,0.213,-10.956,0.0698,155.067,0.383,6,4,41,7,2019-05-17,5217054,3.9063336917434146
I Am Easy to Find,4,Oblivions,spotify:track:5qi2iUTdb6wMuaSembt71H,253986,0.89,0.479,0.549,0.0254,0.111,-8.852,0.0458,130.074,0.164,6,4,46,7,2019-05-17,7787081,5.830673186559887
I Am Easy to Find,5,The Pull Of You,spotify:track:1z3zD1U8ZYmoILMZWE3kZF,238640,0.402,0.376,0.819,0.0575,0.114,-6.473,0.161,138.476,0.288,0,4,42,7,2019-05-17,5393360,4.038344989279632
I Am Easy to Find,6,Hey Rosey,spotify:track:4sJ48xoHPUcgWPrsvpnNrp,254106,0.647,0.63,0.608,0.17,0.165,-7.975,0.0347,131.062,0.237,0,4,41,7,2019-05-17,5002414,3.745619337704563
I Am Easy to Find,7,I Am Easy To Find,spotify:track:6RhmpJYWxzJu16nLgd8lZD,270586,0.931,0.484,0.372,0.448,0.244,-11.411,0.0317,133.857,0.193,11,4,46,7,2019-05-17,7160744,5.361695613108376
I Am Easy to Find,8,Her Father In The Pool,spotify:track:2Tg6GoNk1AucN8Zb57elx3,62520,0.995,0.317,0.123,0.956,0.1,-22.737,0.062,71.869,0.0383,4,3,38,7,2019-05-17,3771923,2.824273986345914
I Am Easy to Find,9,Where Is Her Head,spotify:track:7feLRaxYCAznOMuFVgJluq,281613,0.138,0.525,0.855,0.692,0.061,-5.336,0.0546,95.965,0.218,1,4,44,7,2019-05-17,6514362,4.877709098049016
I Am Easy to Find,10,Not In Kansas,spotify:track:3QGW4gfcvnFhOOBo1p6FKT,404720,0.882,0.488,0.348,2.32e-06,0.0877,-10.467,0.0399,78.075,0.108,7,4,42,7,2019-05-17,4862993,3.641226140003991
I Am Easy to Find,11,So Far So Fast,spotify:track:0fVhSJJXInHf99GpB2SNPt,396893,0.72,0.498,0.673,0.465,0.0645,-11.206,0.0333,112.017,0.27,4,3,40,7,2019-05-17,3943524,2.952762356954472
I Am Easy to Find,12,Dust Swirls In Strange Light,spotify:track:7esYGv7h7qbaUO1q6MdqKh,198800,0.657,0.603,0.563,0.116,0.128,-9.959,0.0344,112.059,0.186,4,4,36,7,2019-05-17,2778104,2.080139721453362
I Am Easy to Find,13,Hairpin Turns,spotify:track:30SPSWQRfDagq4lJ2KoaR0,267520,0.522,0.65,0.449,0.0702,0.0906,-9.2,0.0471,136.091,0.416,8,4,40,7,2019-05-17,5099694,3.8184589405786755
I Am Easy to Find,14,Rylan,spotify:track:6XxPXXqkE4lG7MVkpom6F8,223853,0.403,0.609,0.789,0.0774,0.0446,-5.565,0.0466,144.05,0.724,11,4,51,7,2019-05-17,14491881,10.850975091888305
I Am Easy to Find,15,Underwater,spotify:track:2jMqVZRotAEs6h6RHkWi0e,81480,0.994,0.195,0.25,0.967,0.134,-14.277,0.0341,78.099,0.0376,5,4,36,7,2019-05-17,2726548,2.0415365289597585
I Am Easy to Find,16,Light Years,spotify:track:2GNj9KRwpxBWgEiPQc3jEj,213373,0.95,0.543,0.316,0.672,0.0978,-11.666,0.0307,124.946,0.178,4,4,62,7,2019-05-17,33671086,25.211641987870934
