,album,track_number,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,popularity,artist
57,I Am Easy to Find,1,You Had Your Soul With You,spotify:track:5cBrqDgmdbgH6ncuy1hGDs,206280,0.0194,0.521,0.777,0.0953,0.0865,-5.823,0.0878,154.015,0.278,5,4,51,The National
58,I Am Easy to Find,2,Quiet Light,spotify:track:0kje3SpbIHS7SoEk6QG5xn,255280,0.201,0.625,0.883,0.885,0.118,-6.99,0.0485,105.994,0.355,11,4,47,The National
59,I Am Easy to Find,3,Roman Holiday,spotify:track:7y3sR3xXDSls1GPYGoJ312,214786,0.641,0.533,0.463,0.376,0.213,-10.956,0.0698,155.067,0.383,6,4,41,The National
60,I Am Easy to Find,4,Oblivions,spotify:track:5qi2iUTdb6wMuaSembt71H,253986,0.89,0.479,0.549,0.0254,0.111,-8.852,0.0458,130.074,0.164,6,4,46,The National
61,I Am Easy to Find,5,The Pull Of You,spotify:track:1z3zD1U8ZYmoILMZWE3kZF,238640,0.402,0.376,0.819,0.0575,0.114,-6.473,0.161,138.476,0.288,0,4,42,The National
62,I Am Easy to Find,6,Hey Rosey,spotify:track:4sJ48xoHPUcgWPrsvpnNrp,254106,0.647,0.63,0.608,0.17,0.165,-7.975,0.0347,131.062,0.237,0,4,41,The National
63,I Am Easy to Find,7,I Am Easy To Find,spotify:track:6RhmpJYWxzJu16nLgd8lZD,270586,0.931,0.484,0.372,0.448,0.244,-11.411,0.0317,133.857,0.193,11,4,46,The National
64,I Am Easy to Find,8,Her Father In The Pool,spotify:track:2Tg6GoNk1AucN8Zb57elx3,62520,0.995,0.317,0.123,0.956,0.1,-22.737,0.062,71.869,0.0383,4,3,38,The National
65,I Am Easy to Find,9,Where Is Her Head,spotify:track:7feLRaxYCAznOMuFVgJluq,281613,0.138,0.525,0.855,0.692,0.061,-5.336,0.0546,95.965,0.218,1,4,44,The National
66,I Am Easy to Find,10,Not In Kansas,spotify:track:3QGW4gfcvnFhOOBo1p6FKT,404720,0.882,0.488,0.348,2.32e-06,0.0877,-10.467,0.0399,78.075,0.108,7,4,42,The National
67,I Am Easy to Find,11,So Far So Fast,spotify:track:0fVhSJJXInHf99GpB2SNPt,396893,0.72,0.498,0.673,0.465,0.0645,-11.206,0.0333,112.017,0.27,4,3,40,The National
68,I Am Easy to Find,12,Dust Swirls In Strange Light,spotify:track:7esYGv7h7qbaUO1q6MdqKh,198800,0.657,0.603,0.563,0.116,0.128,-9.959,0.0344,112.059,0.186,4,4,36,The National
69,I Am Easy to Find,13,Hairpin Turns,spotify:track:30SPSWQRfDagq4lJ2KoaR0,267520,0.522,0.65,0.449,0.0702,0.0906,-9.2,0.0471,136.091,0.416,8,4,40,The National
70,I Am Easy to Find,14,Rylan,spotify:track:6XxPXXqkE4lG7MVkpom6F8,223853,0.403,0.609,0.789,0.0774,0.0446,-5.565,0.0466,144.05,0.724,11,4,51,The National
71,I Am Easy to Find,15,Underwater,spotify:track:2jMqVZRotAEs6h6RHkWi0e,81480,0.994,0.195,0.25,0.967,0.134,-14.277,0.0341,78.099,0.0376,5,4,36,The National
72,I Am Easy to Find,16,Light Years,spotify:track:2GNj9KRwpxBWgEiPQc3jEj,213373,0.95,0.543,0.316,0.672,0.0978,-11.666,0.0307,124.946,0.178,4,4,62,The National
73,Boxer (Live in Brussels),1,Fake Empire - Live in Brussels,spotify:track:0azRmczvz97kixqOScQ1vQ,201420,0.041,0.4,0.785,0.335,0.922,-8.098,0.0378,102.625,0.397,0,3,33,The National
74,Boxer (Live in Brussels),2,Mistaken For Strangers - Live in Brussels,spotify:track:0TmfaP9PRmTF0H7JwoLqEK,208278,0.00455,0.456,0.942,0.637,0.973,-5.825,0.0902,139.557,0.383,5,4,29,The National
75,Boxer (Live in Brussels),3,Brainy - Live in Brussels,spotify:track:0ySk1A7oprvyH2Sf4Q4eR4,229229,0.0891,0.431,0.895,0.6,0.583,-7.286,0.0507,84.562,0.483,6,4,28,The National
76,Boxer (Live in Brussels),4,Squalor Victoria - Live in Brussels,spotify:track:53riWYvrh63ewZllVh8QQx,310598,0.0178,0.408,0.791,0.724,0.973,-7.653,0.0448,137.816,0.497,11,4,28,The National
77,Boxer (Live in Brussels),5,Green Gloves - Live in Brussels,spotify:track:6GQZkpGHOgde1U2sTvEhqE,235922,0.789,0.51,0.43,0.35,0.711,-11.649,0.0297,148.598,0.217,2,4,27,The National
78,Boxer (Live in Brussels),6,Slow Show - Live in Brussels,spotify:track:3KDIidi9rNQqUJU9tIFGwk,288573,0.254,0.378,0.698,0.218,0.551,-8.977,0.0441,149.601,0.426,1,4,29,The National
79,Boxer (Live in Brussels),7,Apartment Story - Live in Brussels,spotify:track:2h4gvJMFtx7DNiBeIAtNWs,216959,0.15,0.273,0.9,0.135,0.7,-7.034,0.0775,146.101,0.36,11,4,28,The National
80,Boxer (Live in Brussels),8,Start A War - Live in Brussels,spotify:track:3y2L2xNN7PmFix758joq0D,221585,0.679,0.464,0.694,0.489,0.723,-10.377,0.051,135.047,0.207,0,4,28,The National
81,Boxer (Live in Brussels),9,Guest Room - Live in Brussels,spotify:track:0kDSiQy41Sa4KFe4JwgVbZ,227952,0.0568,0.476,0.848,0.472,0.415,-8.272,0.0612,138.422,0.445,6,4,26,The National
82,Boxer (Live in Brussels),10,Racing Like A Pro - Live in Brussels,spotify:track:57mbWrzYBv0th3rljxQsyN,249834,0.733,0.422,0.545,0.397,0.235,-10.622,0.0596,137.038,0.266,5,3,25,The National
83,Boxer (Live in Brussels),11,Ada - Live in Brussels,spotify:track:4LuIk2rpQEkdiatRvYQrTh,275755,0.61,0.38,0.597,0.0702,0.369,-9.633,0.0524,121.948,0.0989,7,4,25,The National
84,Boxer (Live in Brussels),12,Gospel - Live in Brussels,spotify:track:0WEyIygjimGp0Ue1XL4Sqv,265976,0.531,0.542,0.448,0.00145,0.198,-11.766,0.042,81.393,0.218,0,4,25,The National
85,Sleep Well Beast,1,Nobody Else Will Be There,spotify:track:442vojce8QY34Fy0OfIDtr,280773,0.757,0.657,0.541,0.588,0.0589,-10.883,0.0296,99.022,0.568,9,4,48,The National
86,Sleep Well Beast,2,Day I Die,spotify:track:5tOQgKuJEU01GjoHhVFCjn,271533,0.00406,0.432,0.947,0.737,0.0777,-5.442,0.0943,147.981,0.386,2,4,52,The National
87,Sleep Well Beast,3,Walk It Back,spotify:track:55OYWH9Pb14Fn9XIYiqK5c,359360,0.644,0.727,0.475,0.894,0.434,-12.468,0.0616,126.046,0.112,9,4,41,The National
88,Sleep Well Beast,4,The System Only Dreams in Total Darkness,spotify:track:612R6rJlv9N3wpljUpT8Ja,236746,0.156,0.596,0.912,0.794,0.584,-6.74,0.211,110.014,0.371,0,4,57,The National
89,Sleep Well Beast,5,Born to Beg,spotify:track:5oMorrhWYwqvcBEFsT2Pkx,262679,0.925,0.528,0.63,0.858,0.101,-13.168,0.0611,169.48,0.267,7,4,41,The National
90,Sleep Well Beast,6,Turtleneck,spotify:track:0Mn1Ku0kJLFbSzLPq0BtIq,180000,0.0762,0.427,0.991,0.827,0.167,-3.831,0.212,109.875,0.104,5,4,39,The National
91,Sleep Well Beast,7,Empire Line,spotify:track:7sE9UKlqaAyMC4B9er9Z1d,323760,0.519,0.593,0.643,0.774,0.102,-10.995,0.0351,116.03,0.363,7,4,48,The National
92,Sleep Well Beast,8,I'll Still Destroy You,spotify:track:5L6YfOfsBnaKJHpgsxVgsV,315280,0.332,0.536,0.837,0.787,0.1,-7.494,0.0558,145.001,0.26,1,4,46,The National
93,Sleep Well Beast,9,Guilty Party,spotify:track:44K14Xsq0SbmEavHr5H141,338973,0.702,0.368,0.686,0.777,0.124,-8.332,0.0735,182.262,0.588,2,5,50,The National
94,Sleep Well Beast,10,Carin at the Liquor Store,spotify:track:5nQJn8mJryraorVcTnIIOo,213733,0.594,0.54,0.615,0.799,0.12,-9.264,0.034,93.17,0.239,10,3,45,The National
95,Sleep Well Beast,11,Dark Side of the Gym,spotify:track:5nKH6bOVogJdgfH031s1P1,290093,0.727,0.642,0.475,0.781,0.12,-11.404,0.0294,103.956,0.453,2,3,50,The National
96,Sleep Well Beast,12,Sleep Well Beast,spotify:track:1ZiCI5KyHTd1LFh4bsJ0En,393186,0.773,0.451,0.603,0.645,0.118,-11.407,0.0798,137.981,0.349,2,4,38,The National
97,Trouble Will Find Me,1,I Should Live in Salt,spotify:track:4kFmM894Q4sgHDl4pZalza,248043,0.181,0.519,0.612,7.08e-06,0.105,-7.1,0.0254,134.046,0.158,5,4,54,The National
98,Trouble Will Find Me,2,Demons,spotify:track:2yKczCmnpWYuIJuel6M0eV,211546,0.103,0.54,0.773,0.861,0.0839,-6.327,0.0405,149.882,0.417,4,1,46,The National
99,Trouble Will Find Me,3,Don't Swallow the Cap,spotify:track:3l3SbRkrK1aQ5Dk1h7vroV,285533,0.396,0.45,0.661,0.0362,0.0912,-8.537,0.0411,173.909,0.476,5,4,56,The National
100,Trouble Will Find Me,4,Fireproof,spotify:track:5qv92QoJH3gi2axKlHnayD,178106,0.959,0.483,0.473,0.00944,0.114,-10.539,0.0358,116.021,0.315,3,4,47,The National
101,Trouble Will Find Me,5,Sea of Love,spotify:track:1nXasqw1Y79vUwGFtrwD6p,221440,0.139,0.459,0.824,0.902,0.118,-6.301,0.036,146.009,0.526,0,4,47,The National
102,Trouble Will Find Me,6,Heavenfaced,spotify:track:5duVSbRsdK2QkVgLsoVDem,263200,0.645,0.505,0.496,0.285,0.0887,-9.428,0.0366,160.125,0.164,0,3,45,The National
103,Trouble Will Find Me,7,This is the Last Time,spotify:track:70ZuQywnmOpqcIiEnUA5yV,283386,0.655,0.503,0.495,0.373,0.0934,-10.251,0.0328,140.032,0.133,0,4,54,The National
104,Trouble Will Find Me,8,Graceless,spotify:track:52m3svaHBHJIySJGaUL4IB,275400,0.152,0.441,0.851,0.738,0.109,-6.365,0.168,171.977,0.366,1,4,52,The National
105,Trouble Will Find Me,9,Slipped,spotify:track:4MBStyWbpr6vBEviGvUNFF,265066,0.774,0.452,0.423,0.00446,0.0952,-10.165,0.0357,116.133,0.157,1,4,44,The National
106,Trouble Will Find Me,10,I Need My Girl,spotify:track:50M7nY1oQuNHecs0ahWAtI,245240,0.865,0.52,0.436,0.0651,0.123,-11.508,0.0355,126.053,0.114,0,4,65,The National
107,Trouble Will Find Me,11,Humiliation,spotify:track:7mxVCiILTA07FmLly7xvpm,300733,0.782,0.47,0.7,0.244,0.255,-8.6,0.0425,167.749,0.446,5,4,45,The National
108,Trouble Will Find Me,12,Pink Rabbits,spotify:track:1oNDnnBojo1hkFATFEp1CM,276200,0.799,0.502,0.656,0.109,0.0895,-7.34,0.0435,110.157,0.275,9,4,50,The National
109,Trouble Will Find Me,13,Hard to Find,spotify:track:4hizMtcebzlqsZqp1Y6yJo,253454,0.794,0.488,0.514,0.00508,0.0979,-12.021,0.0309,114.079,0.104,8,5,45,The National
110,High Violet (Expanded Edition),1,Terrible Love,spotify:track:6gIgCC8fMTYW7D3cdrMlIs,279760,0.55,0.304,0.795,0.724,0.118,-6.023,0.0554,79.884,0.35,7,4,31,The National
111,High Violet (Expanded Edition),2,Sorrow,spotify:track:4FEmNwOB0IAWOH83XbphXk,205213,0.172,0.55,0.74,0.663,0.0584,-8.83,0.0274,122.277,0.522,1,4,31,The National
112,High Violet (Expanded Edition),3,Anyone's Ghost,spotify:track:2LFD6akVsc9akkiG9Xq4gg,174173,0.281,0.745,0.789,0.769,0.108,-7.132,0.0917,120.061,0.744,6,4,31,The National
113,High Violet (Expanded Edition),4,Little Faith,spotify:track:5r3OoGdPz9J4tIBTXxrPhu,276640,0.418,0.419,0.725,0.128,0.0776,-7.729,0.0359,149.991,0.338,7,4,29,The National
114,High Violet (Expanded Edition),5,Afraid of Everyone,spotify:track:6N6c4xnRcFYC9bWcN0MkYD,259093,0.504,0.527,0.779,0.803,0.0996,-7.638,0.0508,126.026,0.239,9,4,30,The National
115,High Violet (Expanded Edition),6,Bloodbuzz Ohio,spotify:track:2cRe2J2LFM2adYMgzDEHIK,275933,0.0558,0.402,0.835,0.18,0.103,-6.367,0.043,157.066,0.69,9,4,33,The National
